theme,text
aforizmi,"Почему удар в спину наносят те, кого,как правило, защищаешь грудью?


"
aforizmi,"Музы - пожалуй самые мудрые представительницы женского пола.
Они приходят к нам сами, никогда не ревнуют и мгновенно исчезают
после акта творчества, заставляя томиться ожиданием новой встречи.


"
aforizmi,"Тяжело бухать всю ночь, особенно если ночь полярная.


"
aforizmi,"ПОКУШЕНИЕ. НАЛИЧНОСТЬ.


"
aforizmi,"Когда медленно танцуешь, ничего не мешает...


"
aforizmi,"Ворвавшись в будуар, граф оскорбил княгиню бездействием.


"
aforizmi,"Есть понятие ""трудоголик"". По аналогии со словом ""педофил"" предлагается
понятие ""трудофил"".


"
aforizmi,"Смех без причины-
признак к увольненью...


"
aforizmi,"Да до начальника тебе еще какать и какать!


"
aforizmi,"Брокер от пэйджера недалеко падает. (Киллер)


"
aforizmi,"Зарабатывала себе на жизнь половыми путями.


"
aforizmi,"Меткое наблюдение будущего космонавта: «бл&, Тверь? Земля, епть!»

(c) Sj


"
aforizmi,"#уй привстал...


"
aforizmi,"Если время объективно не существует, то на каком основании дают срок ?


"
aforizmi,"Сделал дело - теперь займись его утилизацией!


"
aforizmi,"В чем разница между женщиной и ошибкой?
Когда находишь ошибку, все проблемы исчезают.
А когда находишь женщину, все проблемы появляются.


"
aforizmi,"Если хочешь больше, чем можешь - не имеешь и того, что можешь.


"
aforizmi,"Сколько же добрых и полезных дел можно сделать под дулом пистолета.


"
aforizmi,"Во времена дуэлей среди дворянства были распространены остро-рапираторные заболевания.


"
aforizmi,"Полез на елку за яблоками,завалило арбузами!!!!


"
aforizmi,"Если не следить за мыслью, то свободной она не будет, она будет шальной.


"
aforizmi,"Так отымеют, что потом концов не найдешь...


"
aforizmi,"Котаклизмы


"
aforizmi,"В связи с отсутствием туалетной бумаги прошу завести в
местах общего пользования книгу жалоб.


"
aforizmi,"Только хотел сказать водке - ""Прощай!"", как она уже говорит -
""Здравствуй!"".


"
aforizmi,"Девушка! Извините, что вас так называю...


"
aforizmi,"Женщины нередко говорят умные мысли, хотя и не думают их


"
aforizmi,"Мне некогда работать - мне надо деньги зарабатывать!


"
aforizmi,"Геенна - вовсе даже не ад, а имя такое эстонское


"
aforizmi,"""Может тебе еще дать ключ от квартиры где девки лежат?""

Ильф,Петров и Дмитрий Сладков.


"
aforizmi,"Каждый имеет право быть дураком (Г.Гейне)


"
aforizmi,"Если вещь пошла по кругу - это уже не вещь, а если человек - то все же
кончено


"
aforizmi,"Объявление:
Требуется телепат. Вы знаете куда обращаться.


"
aforizmi,"Хороший юмор, как и хороший презерватив должен быть тонким, слегка
задиристым, доставляющим взаимное удовольствие и в то же время не дающим
этому удовольствию обернуться осложнениями.
(Подсказано Вадимом Зверевым)


"
aforizmi,"Не пей вина, Гертруда, - козленочком станешь.


"
aforizmi,"На медицинском жаргоне выражение ""слить информацию"" означает - сдать
анализ мочи.


"
aforizmi,"Фильм ужасов по роману Стивенкингса ""ОСТРОВ СВЕКРОВИЩ !!!""


"
aforizmi,"сложнее всего складываются бескорыстные отношения
Боб


"
aforizmi,"Я не дятел, но форму доклада знаю!


"
aforizmi,"Министр Внутренних Дел т. Нарушайло.


"
aforizmi,"«Вот те новый Паваротти, » - разводил руками Макаревич, охуевая от
талантов Баскова.(Лука Мытищев)


"
aforizmi,"Чем бы Олигарх не тешился, лишь бы в президенты не лез.


"
aforizmi,"Знания - это сила!
Сила есть - ума не надо!
Нет ума - считай калека!
Вывод: Знания калечат человека!!!!


"
aforizmi,"Фаллотелистка.


"
aforizmi,"К сожалению, рэкетиры часто забывают, кто кому платит.


"
aforizmi,"Трахун - находка для путаны.


"
aforizmi,"Горбатого могила исправит, а могилу - горбатый гробокопальщик.

На безрыбье Ирак - рыба, а Иран - вообще осьминог.

Ищи ветра в поле, а член Петра - в Оле.


"
aforizmi,"Подари своей девушке ""мягкую"" игрушку если, конечно, у нее уже есть
""твердая""!


"
aforizmi,"Женская слабость - это прелестно, но только не слабость ума.
---
zabaznov.ru


"
aforizmi,"Все-все своими руками: и дом и дачу и машину и детей.


"
aforizmi,"Мужчине от женщины нужно только ЭТО, а женщине от мужчины, кроме всего
прочего, еще и ЭТО.


"
aforizmi,"Товарищи призывники! Только в армии вы можете бесплатно получить по
шапке!


"
aforizmi,"Лучше треугольники под бикини, чем круги под глазами..


"
aforizmi,"Поженились. На том и разошлись.


"
aforizmi,"Замысел без умысла - называется вымыслом


"
aforizmi,"С_той? Стал_бы!.


"
aforizmi,"Предсказатели гадают о будущем, обреченные пытаются забыть его.
(с) liveinternet.ru/users/greh


"
aforizmi,"Кто-то подкупает своей улыбкой, а кто-то зелеными.


"
aforizmi,"Нельзя объять необъятное...
Нельзя перетрахать неперетрахуемое...


"
